Country,Region,Year,pm2.5
Colombia,Americas (LMIC),2012,18
Colombia,Americas (LMIC),2013,20
Colombia,Americas (LMIC),2014,21
Colombia,Americas (LMIC),2015,23
Colombia,Americas (LMIC),2010,24
Colombia,Americas (LMIC),2011,23
Colombia,Americas (LMIC),2012,24
Colombia,Americas (LMIC),2013,27
Colombia,Americas (LMIC),2014,29
Colombia,Americas (LMIC),2015,26
Colombia,Americas (LMIC),2014,41
Colombia,Americas (LMIC),2014,18
Colombia,Americas (LMIC),2010,32
Colombia,Americas (LMIC),2011,22
Colombia,Americas (LMIC),2012,24
Colombia,Americas (LMIC),2013,27
Colombia,Americas (LMIC),2014,28
Colombia,Americas (LMIC),2015,36
Colombia,Americas (LMIC),2014,9
Colombia,Americas (LMIC),2014,19
Colombia,Americas (LMIC),2014,16
Colombia,Americas (LMIC),2010,13
Colombia,Americas (LMIC),2011,13
Colombia,Americas (LMIC),2012,14
Colombia,Americas (LMIC),2013,11
Colombia,Americas (LMIC),2014,17
Colombia,Americas (LMIC),2015,18
Colombia,Americas (LMIC),2016,18
Colombia,Americas (LMIC),2014,16
Costa Rica,Americas (LMIC),2013,20
Costa Rica,Americas (LMIC),2013,30
Costa Rica,Americas (LMIC),2013,19
Costa Rica,Americas (LMIC),2013,29
Costa Rica,Americas (LMIC),2013,14
Costa Rica,Americas (LMIC),2013,24
Costa Rica,Americas (LMIC),2013,16
Cuba,Americas (LMIC),2015,35
Cyprus,Europe (HIC),2013,13
Cyprus,Europe (HIC),2014,12
Cyprus,Europe (HIC),2015,10
Cyprus,Europe (HIC),2016,10
Cyprus,Europe (HIC),2013,13
Cyprus,Europe (HIC),2013,17
Cyprus,Europe (HIC),2014,17
Cyprus,Europe (HIC),2015,20
Cyprus,Europe (HIC),2016,15
Cyprus,Europe (HIC),2013,17
Cyprus,Europe (HIC),2013,17
Cyprus,Europe (HIC),2014,17
Cyprus,Europe (HIC),2015,18
Cyprus,Europe (HIC),2016,15
Cyprus,Europe (HIC),2013,17
Cyprus,Europe (HIC),2013,16
Cyprus,Europe (HIC),2013,16
Cyprus,Europe (HIC),2014,17
Cyprus,Europe (HIC),2015,15
Cyprus,Europe (HIC),2016,15
Cyprus,Europe (HIC),2013,17
Cyprus,Europe (HIC),2014,17
Cyprus,Europe (HIC),2015,17
Cyprus,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,25
Czechia,Europe (HIC),2014,22
Czechia,Europe (HIC),2016,21
Czech Republic,Europe (HIC),2013,13
Czechia,Europe (HIC),2013,13
Czechia,Europe (HIC),2014,12
Czechia,Europe (HIC),2015,14
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,19
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2016,18
Czech Republic,Europe (HIC),2013,20
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2015,18
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2014,29
Czechia,Europe (HIC),2013,13
Czechia,Europe (HIC),2016,13
Czech Republic,Europe (HIC),2013,17
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,16
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2015,14
Czechia,Europe (HIC),2016,19
Czech Republic,Europe (HIC),2013,33
Czechia,Europe (HIC),2013,35
Czechia,Europe (HIC),2014,34
Czechia,Europe (HIC),2015,28
Czechia,Europe (HIC),2016,26
Czech Republic,Europe (HIC),2013,14
Czechia,Europe (HIC),2013,15
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2015,14
Czechia,Europe (HIC),2016,13
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2015,19
Czechia,Europe (HIC),2016,18
Czechia,Europe (HIC),2013,15
Czechia,Europe (HIC),2014,14
Czechia,Europe (HIC),2015,12
Czechia,Europe (HIC),2016,11
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,23
Czechia,Europe (HIC),2014,24
Czechia,Europe (HIC),2016,25
Czechia,Europe (HIC),2013,11
Czechia,Europe (HIC),2014,12
Czechia,Europe (HIC),2016,9
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2013,36
Czechia,Europe (HIC),2014,36
Czechia,Europe (HIC),2015,33
Czechia,Europe (HIC),2016,32
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,18
Czechia,Europe (HIC),2013,22
Czech Republic,Europe (HIC),2013,28
Czechia,Europe (HIC),2013,30
Czechia,Europe (HIC),2014,28
Czechia,Europe (HIC),2015,23
Czechia,Europe (HIC),2016,23
Czechia,Europe (HIC),2013,15
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2016,12
Czechia,Europe (HIC),2016,26
Czech Republic,Europe (HIC),2013,33
Czechia,Europe (HIC),2013,35
Czechia,Europe (HIC),2014,32
Czechia,Europe (HIC),2015,28
Czechia,Europe (HIC),2016,26
Czechia,Europe (HIC),2013,12
Czechia,Europe (HIC),2014,12
Czechia,Europe (HIC),2015,10
Czechia,Europe (HIC),2016,8
Czechia,Europe (HIC),2016,8
Czech Republic,Europe (HIC),2013,21
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,19
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,16
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2016,14
Czechia,Europe (HIC),2013,15
Czechia,Europe (HIC),2014,14
Czechia,Europe (HIC),2015,13
Czechia,Europe (HIC),2016,11
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,18
Czech Republic,Europe (HIC),2013,17
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,16
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,13
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2016,10
Czechia,Europe (HIC),2013,16
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2015,20
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,16
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,19
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,20
Czechia,Europe (HIC),2016,13
Czech Republic,Europe (HIC),2013,32
Czechia,Europe (HIC),2013,34
Czechia,Europe (HIC),2014,33
Czechia,Europe (HIC),2015,29
Czechia,Europe (HIC),2016,27
Czech Republic,Europe (HIC),2013,12
Czechia,Europe (HIC),2013,12
Czechia,Europe (HIC),2014,12
Czechia,Europe (HIC),2015,12
Czechia,Europe (HIC),2016,16
Czechia,Europe (HIC),2013,11
Czechia,Europe (HIC),2014,11
Czechia,Europe (HIC),2016,9
Czechia,Europe (HIC),2013,16
Czechia,Europe (HIC),2014,16
Czechia,Europe (HIC),2016,13
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,14
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,15
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,16
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,22
Czechia,Europe (HIC),2014,20
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,20
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2015,20
Czechia,Europe (HIC),2016,19
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2014,30
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2015,23
Czechia,Europe (HIC),2016,19
Czechia,Europe (HIC),2013,11
Czechia,Europe (HIC),2014,10
Czechia,Europe (HIC),2015,10
Czechia,Europe (HIC),2016,9
Czech Republic,Europe (HIC),2013,19
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,17
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,20
Czechia,Europe (HIC),2016,19
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,22
Czechia,Europe (HIC),2014,22
Czechia,Europe (HIC),2015,19
Czechia,Europe (HIC),2016,18
Czechia,Europe (HIC),2013,23
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2013,25
Czechia,Europe (HIC),2014,24
Czechia,Europe (HIC),2015,24
Czechia,Europe (HIC),2016,22
Czech Republic,Europe (HIC),2013,25
Czech Republic,Europe (HIC),2013,24
Czechia,Europe (HIC),2013,26
Czechia,Europe (HIC),2014,25
Czechia,Europe (HIC),2015,21
Czechia,Europe (HIC),2016,22
Czech Republic,Europe (HIC),2013,33
Czechia,Europe (HIC),2013,34
Czechia,Europe (HIC),2014,31
Czechia,Europe (HIC),2015,28
Czechia,Europe (HIC),2016,27
Czech Republic,Europe (HIC),2013,32
Czechia,Europe (HIC),2013,32
Czechia,Europe (HIC),2014,30
Czechia,Europe (HIC),2015,27
Czechia,Europe (HIC),2016,25
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,19
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2016,19
Czech Republic,Europe (HIC),2013,21
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2015,13
Czechia,Europe (HIC),2016,12
Czech Republic,Europe (HIC),2013,19
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2015,17
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,23
Czechia,Europe (HIC),2013,24
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2015,22
Czechia,Europe (HIC),2016,22
Czech Republic,Europe (HIC),2013,17
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,15
Czech Republic,Europe (HIC),2013,23
Czechia,Europe (HIC),2013,24
Czechia,Europe (HIC),2014,25
Czechia,Europe (HIC),2015,22
Czechia,Europe (HIC),2016,20
Czechia,Europe (HIC),2013,23
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,17
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,16
Czechia,Europe (HIC),2016,14
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,16
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,16
Czechia,Europe (HIC),2016,25
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,20
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2014,14
Czechia,Europe (HIC),2015,12
Czechia,Europe (HIC),2016,10
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,13
Czechia,Europe (HIC),2013,13
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2015,13
Czechia,Europe (HIC),2016,13
Czechia,Europe (HIC),2013,9
Czechia,Europe (HIC),2014,9
Czechia,Europe (HIC),2016,4
Czech Republic,Europe (HIC),2013,20
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2016,18
Czechia,Europe (HIC),2013,14
Czechia,Europe (HIC),2014,15
Czechia,Europe (HIC),2016,11
Czechia,Europe (HIC),2013,29
Czechia,Europe (HIC),2014,26
Czechia,Europe (HIC),2015,24
Czechia,Europe (HIC),2016,23
Czechia,Europe (HIC),2016,20
Czechia,Europe (HIC),2013,13
Czechia,Europe (HIC),2014,13
Czechia,Europe (HIC),2016,10
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,23
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2015,22
Czechia,Europe (HIC),2016,18
Czech Republic,Europe (HIC),2013,17
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,16
Czech Republic,Europe (HIC),2013,19
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,21
Czechia,Europe (HIC),2015,19
Czechia,Europe (HIC),2016,19
Czech Republic,Europe (HIC),2013,16
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,17
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,15
Czech Republic,Europe (HIC),2013,31
Czechia,Europe (HIC),2013,31
Czechia,Europe (HIC),2014,28
Czechia,Europe (HIC),2015,25
Czechia,Europe (HIC),2016,24
Czech Republic,Europe (HIC),2013,17
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,18
Czech Republic,Europe (HIC),2013,24
Czechia,Europe (HIC),2013,25
Czechia,Europe (HIC),2014,23
Czechia,Europe (HIC),2015,23
Czechia,Europe (HIC),2016,22
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2015,15
Czechia,Europe (HIC),2016,15
Czechia,Europe (HIC),2013,17
Czechia,Europe (HIC),2014,16
Czechia,Europe (HIC),2016,14
Czechia,Europe (HIC),2016,21
Czechia,Europe (HIC),2013,19
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,20
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2016,17
Czech Republic,Europe (HIC),2013,21
Czechia,Europe (HIC),2013,21
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2016,19
Czech Republic,Europe (HIC),2013,18
Czechia,Europe (HIC),2013,18
Czechia,Europe (HIC),2016,16
Czech Republic,Europe (HIC),2013,22
Czechia,Europe (HIC),2013,22
Czechia,Europe (HIC),2014,19
Czechia,Europe (HIC),2015,16
Czechia,Europe (HIC),2016,20
Czech Republic,Europe (HIC),2013,20
Czechia,Europe (HIC),2013,20
Czechia,Europe (HIC),2014,18
Czechia,Europe (HIC),2015,17
Czechia,Europe (HIC),2016,16
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2013,12
Germany,Europe (HIC),2014,11
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,8
Germany,Europe (HIC),2015,9
Germany,Europe (HIC),2016,8
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,18
Germany,Europe (HIC),2015,16
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,8
Germany,Europe (HIC),2014,7
Germany,Europe (HIC),2015,7
Germany,Europe (HIC),2016,6
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,11
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2014,5
Germany,Europe (HIC),2015,5
Germany,Europe (HIC),2016,5
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,10
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,12
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,9
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,21
Germany,Europe (HIC),2015,17
Germany,Europe (HIC),2016,16
Germany,Europe (HIC),2013,18
Germany,Europe (HIC),2014,20
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2013,12
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,10
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,18
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,16
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,19
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,16
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2014,18
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,7
Germany,Europe (HIC),2014,5
Germany,Europe (HIC),2015,7
Germany,Europe (HIC),2016,6
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,12
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,9
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,19
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2013,12
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,11
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,10
Germany,Europe (HIC),2015,9
Germany,Europe (HIC),2016,8
Germany,Europe (HIC),2013,19
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,16
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,9
Germany,Europe (HIC),2015,9
Germany,Europe (HIC),2016,8
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,9
Germany,Europe (HIC),2014,7
Germany,Europe (HIC),2015,7
Germany,Europe (HIC),2016,6
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2014,17
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,17
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,11
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2013,9
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,13
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,18
Germany,Europe (HIC),2014,19
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,16
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2015,19
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,11
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,12
Germany,Europe (HIC),2015,9
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,10
Germany,Europe (HIC),2015,10
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,10
Germany,Europe (HIC),2013,8
Germany,Europe (HIC),2014,8
Germany,Europe (HIC),2015,7
Germany,Europe (HIC),2016,7
Germany,Europe (HIC),2013,18
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,14
Germany,Europe (HIC),2013,14
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,7
Germany,Europe (HIC),2014,7
Germany,Europe (HIC),2015,7
Germany,Europe (HIC),2016,6
Germany,Europe (HIC),2013,17
Germany,Europe (HIC),2014,16
Germany,Europe (HIC),2015,15
Germany,Europe (HIC),2016,13
Germany,Europe (HIC),2013,7
Germany,Europe (HIC),2014,7
Germany,Europe (HIC),2015,6
Germany,Europe (HIC),2016,6
Germany,Europe (HIC),2013,15
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,14
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2013,11
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,13
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2013,18
Germany,Europe (HIC),2014,19
Germany,Europe (HIC),2015,17
Germany,Europe (HIC),2016,16
Germany,Europe (HIC),2013,10
Germany,Europe (HIC),2014,11
Germany,Europe (HIC),2015,9
Germany,Europe (HIC),2016,9
Germany,Europe (HIC),2013,13
Germany,Europe (HIC),2014,14
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,11
Germany,Europe (HIC),2013,16
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,12
Germany,Europe (HIC),2016,12
Germany,Europe (HIC),2014,15
Germany,Europe (HIC),2015,16
Germany,Europe (HIC),2016,15
Germany,Europe (HIC),2013,13
