Year,sea_salt,dust,traffic,industry,biomass_burn_residual,other_unspecified_human_origin
2005,NA,50,11,12,NA,27
2005,NA,32,5,20,NA,43
2005,NA,18,44,12,NA,26
2005,NA,30,23,31,NA,16
2005,NA,40,12,18,NA,30
2005,NA,22,10,30,NA,38
2005,NA,26,11,27,NA,36
2005,NA,40,10,17,NA,33
2005,NA,16,20,23,NA,41
2005,NA,26,47,8,NA,19
2005,NA,60,5,7,NA,28
2005,NA,43,12,17,NA,28
2005,NA,54,7,18,NA,21
2005,NA,40,8,26,NA,26
2005,NA,42,9,20,NA,29
2005,NA,51,9,14,NA,26
2005,NA,45,5,20,NA,30
2005,NA,50,21,10,NA,19
2005,NA,50,10,17,NA,23
2005,NA,28,39,8,NA,25
2005,NA,41,27,15,NA,17
2005,NA,35,41,10,NA,14
2014,20,NA,13,14,NA,53
2014,28,NA,16,45,NA,11
2010,5.2,8.3,9.7,10.7,NA,66.1
2010,6.7,4.9,12.9,10.7,NA,64.8
1997,2,NA,57,18,NA,23
2007,11,27.8,45,6,NA,10.2
2009,19,NA,54,12,15,0
2009,18,13,53,7,9,0
2002,NA,NA,66,14,NA,20
2002,NA,NA,66,26,NA,8
1994,NA,6.8,4.4,17.7,NA,71.1
2011,3,33,39,12,4,9
2011,NA,41,NA,17,NA,42
2009,13,NA,8,38,NA,41
2008,12,20,14,NA,NA,54
2006,11,40,NA,NA,NA,49
2010,6.3,49.5,16.5,2.1,NA,25.6
2003,NA,16,40,15,NA,29
2003,12,24,39,6,NA,19
2003,26,25,36,NA,NA,13
2003,15,19,49,NA,NA,17
2006,3,28,17,NA,NA,52
2010,NA,5,41,NA,34,20
2010,NA,NA,36,1,27,36
2010,NA,4.3,8,NA,7,80.7
2010,NA,NA,7,NA,24,69
2010,NA,6,28,NA,9,57
2010,NA,6,28,NA,9,57
2010,NA,NA,20,NA,17,63
2010,NA,NA,20,NA,17,63
2010,1,2,10,NA,21,66
2010,NA,9,8,NA,8,75
2010,NA,1,13,NA,21,65
2010,NA,7,20,NA,14,59
2010,NA,2,14,NA,15,69
2010,NA,15,14,NA,5,66
2010,NA,5.6,27.8,NA,8,58.7
2010,NA,NA,22,NA,15,63
2010,NA,9,26,NA,44,21
2010,NA,NA,30,6,20,44
2010,NA,7,11,NA,5,77
2010,1,NA,12,NA,16,71
2010,NA,8,16,NA,6,70
2010,2,NA,16,NA,14,68
2010,NA,2,27,NA,16,55
2010,NA,10,31,NA,19,40
2010,NA,2,29,NA,11,58
2010,NA,8,37,NA,12,43
2010,1,2,12,NA,12,73
2010,NA,11,8,NA,6.5,74.5
2010,NA,7.1,14.3,NA,10,68.6
2010,1,NA,13,NA,19,67
2010,NA,4,28,NA,9,59
2010,NA,17,24,NA,14,45
2010,NA,8,35,NA,7,50
2010,2,NA,29,NA,11,58
2010,NA,4,26,NA,10,60
2010,NA,24,24,NA,11.1,40.9
2010,NA,10.5,33,NA,12,44.5
2010,2,NA,28,NA,9,61
2010,NA,5,49,NA,9.2,36.8
2010,NA,NA,38,NA,9,53
2003,NA,14.3,46.6,NA,NA,39.1
2003,NA,14.5,27.1,7.6,NA,50.8
2006,0.5,25,NA,NA,NA,74.5
2010,12,34,17,14,NA,23
2005,NA,15,56,3,NA,26
2008,8.5,13,19.5,25.8,NA,33.2
2008,11.9,16.8,23.2,22.4,NA,25.7
2007,15,35,30,NA,NA,20
2009,NA,8.9,31,44,NA,16.1
2011,5,18,25,NA,23,29
2011,1.6,0.6,32.5,NA,1.2,64.1
2011,0.7,1.1,23.6,NA,18.9,55.7
2011,0.7,0.6,19,NA,4,75.7
2011,1.2,0.6,27.6,NA,1.2,69.5
2011,0.3,3.7,23.6,NA,29.4,43.1
2011,0.2,1.6,23.3,NA,26,49
2011,1.2,0.6,6.5,NA,15.9,75.9
2011,0.8,0.8,11.5,NA,3.1,83.9
2011,NA,1.2,7.3,NA,30.8,60.8
2011,NA,NA,7.2,NA,28.7,64.1
2005,8,16,22,22,NA,32
2005,47,20,NA,18,NA,15
2006,29.9,18,NA,19.7,NA,32.4
1997,15,37,24,NA,NA,24
2006,8,16,22,22,NA,32
2009,3,13,40,9,NA,35
2009,10,28,46,7,NA,9
2010,3,33,31,NA,10,23
2014,12,8,33,19,NA,28
2014,24,12,27,20,NA,17
2014,9,5,25,14,NA,47
2014,12,7,26,9,NA,46
2014,10,12,33,12,NA,33
2014,6,4,26,11,NA,53
2014,31,12,NA,35,NA,22
2014,5,9,41,NA,NA,45
2014,NA,6,85,NA,NA,9
2014,8,17,32,19,NA,24
2014,11,22,28,6,NA,33
2014,13,17,45,11,NA,14
2014,17,19,30,8,NA,26
2014,12,14,33,5,NA,36
2014,12,22,32,7,NA,27
2014,35,16,NA,32,NA,17
2014,10,15,46,NA,NA,29
2014,16,25,40,7,NA,12
2014,NA,11,77,NA,NA,12
2011,NA,NA,24,40,NA,36
2009,4,56,8,15,5,12
2009,7,40,7,26,6,14
2009,10,65,15,9,NA,1
2011,NA,19,60,NA,NA,21
2006,6,36,NA,48,NA,10
2011,13,1,37,7,NA,42
2011,20,3,29,4,NA,44
2011,12,14,35,3,NA,36
2008,2,8,40,NA,NA,50
2008,3,25,20,6,NA,46
2008,11,28.7,13,NA,NA,47.3
2008,NA,16,10,16,NA,58
2008,2.3,36.7,13,8.2,NA,39.8
2010,4.6,14.9,24.5,14.3,NA,41.7
2010,3.9,8.8,27.8,16.8,NA,42.7
2010,4.1,8.5,35.9,11.2,NA,40.3
2010,8,22.8,19.6,11,NA,38.6
2010,9.2,19.6,24.9,8.1,NA,38.2
2010,8.5,23.5,17.2,12.8,NA,38
2010,10.3,22.9,20,11,NA,35.8
2009,NA,13,NA,27,NA,60
2009,NA,29,NA,18,NA,53
2001,11,36,22,NA,NA,31
2002,NA,26,26,7,NA,41
2002,15,47,NA,16,NA,22
2004,13,NA,27,15,NA,45
2004,7,26,22,NA,NA,45
2004,6,31,34,NA,NA,29
2004,9,32,30,NA,NA,29
2004,5,27,33,22,NA,13
2004,35,33,5,NA,NA,27
2004,3,26,48,NA,NA,23
2007,2,15,35,10,NA,38
2007,14,36,25,17,NA,8
2010,NA,24,NA,74,NA,2
2010,NA,44,NA,50,NA,6
2007,7,24,35,NA,NA,34
2007,4.7,39.3,NA,18.6,NA,37.4
2007,4.5,47,NA,17.7,NA,30.8
2010,6,32,23,13.5,NA,25.5
2010,6,37,15,13.5,NA,28.5
2007,3,31,39,NA,NA,27
2007,4.9,51.2,NA,22,NA,21.9
2007,4,24,41,NA,NA,31
2007,3,13,44,NA,NA,40
2007,5,20,53,NA,NA,22
2008,NA,18,14.7,17,NA,50.3
2008,NA,31,10,17,NA,42
2008,3,53,13,6,NA,25
2009,15,31,28,2,NA,24
2010,7,31,35,9,NA,18
2006,12,35,12,3,NA,38
2011,8,31.2,15.3,NA,NA,45.5
2011,2.5,8.4,7.5,NA,NA,81.6
2011,7,38.5,15.7,NA,NA,38.8
2011,2.8,9.1,8.4,NA,NA,79.8
2011,16.8,35.7,NA,NA,NA,47.5
2011,NA,75,NA,8,NA,17
2011,16.6,33.5,19.5,8.6,NA,21.8
2013,8,41.5,17,19,5,9.5
2013,NA,54,16,30,NA,0
2012,NA,51,8.4,23,NA,17.6
2012,9,39.1,NA,31,NA,20.9
2008,7.3,49.6,NA,9.9,NA,33.2
2009,33,28,NA,10,NA,29
2009,32,31,NA,7,NA,30
2008,4,9,12,37,NA,38
2008,14,1,15,22,NA,48
2008,3,11.6,16.4,30,NA,39
2011,18.3,3.8,14.2,17.1,NA,46.6
2011,2.5,NA,19.4,7.5,12,58.6
2011,4.4,3.8,17.8,5.5,6.4,62.1
2011,1.8,1.9,13.6,6.2,1.1,75.4
2011,2.3,5.3,13.9,11.3,NA,67.2
2008,1,8,13,13,56,9
2003,8,NA,10,20.1,NA,61.9
2011,NA,49,17,24,NA,10
2014,15.6,NA,13.9,2.2,38.2,30.2
2009,NA,26.6,42,10,NA,21.4
2012,NA,16.3,12.9,18.3,NA,52.6
2005,3,1.6,22.5,57,NA,16
2002,NA,NA,13.8,1.5,12.3,72.4
2007,NA,5,10,9,23,53
2007,NA,3,15,NA,24,58
2008,4.3,2.2,6.8,19.2,3.2,64.3
2008,5.1,3,6.8,15.7,11.1,58.3
2009,NA,NA,10.6,14.5,NA,74.9
2009,NA,2.7,14.2,6.4,NA,76.7
2002,0.6,3.7,40.7,2.5,1.3,51.3
2002,5.3,1.3,52,5.3,4,32.1
2002,1.3,6.5,5.2,9.2,31.5,46.3
2002,6,0.9,30.2,13.8,NA,49.2
2002,2.5,1.7,27,NA,29.7,39.1
2002,9.4,6.2,35.4,3.1,5.5,40.4
2002,1.5,4.4,49.2,3.7,5.2,36
2002,NA,3.4,25,8.2,15,48.4
2002,1.9,5,38.1,5,18.8,31.3
2002,1.7,2.2,36.9,10,1.7,47.6
2002,NA,0.5,1.6,0.5,4.3,93.1
2002,NA,NA,7.9,NA,NA,92.1
2002,NA,42.6,21.5,3.6,2,30.4
2002,NA,38.8,19.4,10.4,NA,31.4
2002,NA,42.9,9.8,NA,NA,47.4
2002,NA,NA,8.9,NA,NA,91.1
2003,2,5.6,43.6,6.3,NA,42.4
2003,NA,2.1,17.2,18.6,NA,62.1
2003,1.9,6.2,15.5,18.6,NA,57.8
2003,0.6,3.7,23.8,16,NA,55.9
2003,NA,8.9,28.1,NA,6.5,56.5
2003,NA,8.1,16.8,12.8,NA,62.3
2003,2.9,2.8,18.4,NA,1.7,74.2
2003,NA,6.6,33.3,7.7,NA,52.4
2013,NA,NA,69.5,NA,14.8,15.7
2008,NA,NA,33,4,NA,63
2006,NA,38,2,NA,35,25
2006,NA,57,NA,NA,17,26
2000,5.5,NA,43.4,NA,NA,51.1
2000,3,8.2,50.3,NA,NA,38.5
2000,4.2,NA,54.8,NA,NA,41
2000,2.8,9.9,44.7,NA,NA,42.6
2000,NA,9.2,38.9,NA,NA,51.9
2002,NA,9.1,10.7,9.1,43.8,27.3
2002,NA,1,22,2.7,11,63.3
2003,2.2,2.2,23.4,6.1,NA,66.1
2003,NA,2.2,26,3.8,3,65
2003,NA,2.7,16.9,6.5,7,66.9
2006,NA,6.1,13.8,NA,0.1,80
2003,7.9,1.7,15.7,4.4,NA,70.3
2008,7.8,10.8,14.9,1.6,NA,64.9
2002,NA,22,49,NA,10.3,18.7
2004,10.5,NA,28.4,6.6,NA,54.5
2006,NA,1.6,8.2,9.8,19.2,61.2
2006,NA,1,0.3,7.3,16.6,74.8
2006,NA,3.1,15.3,9.4,22.2,50
2006,NA,4.1,11.8,20.5,10.7,52.9
1999,21,46,NA,17,NA,16
1999,NA,1.2,24.5,NA,18.1,56.2
2003,6.7,4.5,43.8,6.7,15.7,22.6
2003,12.3,5.6,28,14.6,37,2.5
2003,3.4,13.4,22.4,10.1,28,22.7
2006,NA,NA,14,50,NA,36
2005,1,NA,27,26,NA,46
2013,NA,NA,20.7,7.7,NA,71.6
2013,NA,NA,28.2,17.4,NA,54.4
2001,NA,3.8,NA,20.2,15.2,60.8
2001,NA,2.4,NA,13.1,15.4,69.1
2001,1.6,4.7,NA,18.8,15.6,59.4
2001,1.3,3.8,NA,18.8,15,61.3
2001,8,0.9,5.3,6.1,7.9,71.9
2001,3.4,2.8,9.1,8.5,NA,76.2
2013,4,5,24,2,2,63
2013,15,4,26,NA,3,52
2013,13.3,NA,29.1,NA,24.3,33.3
2014,1.5,3.4,30.6,NA,40.5,24
2012,NA,NA,7.6,NA,72,20.4
2010,NA,NA,31,NA,22,47
2010,NA,NA,32,NA,16,52
2004,6.7,14.7,16.2,NA,NA,62.4
2004,NA,1.6,4.7,7.6,NA,86.1
2008,12,2.3,26.5,NA,30,29.2
2008,9.5,9.4,22,8.5,7.1,43.5
2008,8.6,2.7,36.4,7.9,8,36.4
2008,7.5,5.7,18,14.6,10,44.2
2008,14.4,5,20.5,1.4,19.3,39.4
2009,NA,12.2,6.3,10,6.1,65.4
2006,NA,5.3,25,7,NA,62.7
2008,NA,NA,30.5,14.1,4.1,51.3
2014,NA,5.7,16,3.5,14.3,60.5
2014,NA,4.2,16.8,1,5.4,72.6
2014,NA,8,24,NA,10,58
2014,NA,8.4,12.5,NA,11.5,67.6
2014,1.3,8,11.3,1.5,10,68
2014,4.5,NA,9.5,NA,25,61
2014,NA,3.8,10,1.5,34.6,50.1
2014,1,5,23.9,NA,25,45.1
2006,NA,15.4,17.2,6.7,NA,60.7
2006,NA,3.2,26.1,17.4,2.4,50.9
2014,14.3,4.4,18.1,NA,5.4,57.9
2014,7.9,3.6,19.8,0.9,3,64.8
2010,4.1,10.2,18.2,NA,10.3,57.2
2010,10.6,6.6,15.8,2.3,6,58.7
2008,15.3,NA,34.6,NA,1.9,48.2
2008,10.9,NA,36.4,NA,NA,52.7
2007,12.3,11.3,25.2,NA,NA,51.1
2007,11.4,6.1,19.1,2.5,2.6,58.3
2007,7.3,7.1,32.4,NA,NA,53.3
2008,20,NA,33.3,9.3,2.7,34.8
2008,22.8,12.3,17.5,12.2,10.5,24.7
2008,15.2,12,30.3,10.6,10.6,21.3
2008,23,1.4,35.7,5.7,1.4,32.8
2011,6.5,8.1,18.3,33.9,NA,33.2
2011,24,3.2,22.5,NA,28.5,21.8
2011,15.6,9.2,7.5,NA,43.3,24.4
2014,21.1,3.8,7.3,NA,47.8,20
2012,NA,NA,55,16,NA,29
2012,NA,NA,35,3,NA,62
2012,NA,44,18,12,NA,26
2012,24,8,37,NA,NA,31
2012,NA,14,51,18,NA,17
2012,NA,13,40,13,NA,34
1990,79.3,1.1,NA,NA,NA,19.6
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
1998,5.9,21.3,NA,NA,54,18.8
2011,NA,27.5,23.5,26,NA,23
2009,NA,36,29,35,NA,0
2011,NA,56,28,16,NA,0
2011,NA,55,32,13,NA,0
2011,NA,72,NA,28,NA,0
2011,NA,47,33,6,NA,14
2011,NA,42,45,NA,NA,13
2005,8.9,35.5,35,13.2,NA,7.4
2009,8.6,7.5,NA,33.5,NA,50.4
2009,35,12,NA,30,NA,23
2012,9.9,4,31,9.7,28.9,16.5
2013,NA,22.4,NA,22,NA,55.6
2013,6.4,31.2,NA,28,NA,34.4
2009,NA,NA,52.2,21.3,NA,26.5
2009,NA,20.8,35.3,31,NA,12.9
2012,18,9,60,NA,NA,13
2012,NA,21,35,31,NA,13
2013,11.3,21.7,28.9,NA,NA,38.1
2013,7.7,13.3,18.4,26.5,NA,34.1
2013,5.6,9.8,7.8,48.6,NA,28.2
2013,6.4,13.8,15.6,27.9,NA,36.3
2013,14.5,28.4,30.1,NA,NA,27
2013,13.2,21,22.7,19.8,NA,23.3
2013,10.3,20.6,8.7,35.5,NA,24.9
2013,12.3,24.6,19.5,15.9,NA,27.7
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
